Seq,username,userID,gender,totalSpent,monthsSinceLastPurchase,totalNumberOfPurchases,monthsSinceFirstPurchase,firstName,lastName,userPass
1,user1,25,1,297,14,2,22,Jacob,Caden,user1Caden25
2,user2,29,0,128,8,2,10,Michael,Garrett,user2Garrett29
3,user3,46,1,138,22,7,56,Joshua,Parker,user3Parker46
4,user4,47,1,228,2,1,2,Matthew,Marcus,user4Marcus47
5,user5,51,1,257,10,1,10,Daniel,Vincent,user5Vincent51
6,user6,60,1,145,6,2,12,Christopher,Kaleb,user6Kaleb60
7,user7,61,1,190,16,1,16,Andrew,Kaden,user7Kaden61
8,user8,79,1,187,14,1,14,Ethan,Brady,user8Brady79
9,user9,81,1,252,10,1,10,Joseph,Colton,user9Colton81
10,user10,90,1,240,6,3,20,William,Kenneth,user10Kenneth90
11,user11,95,1,275,2,4,20,Anthony,Joel,user11Joel95
12,user12,100,0,320,2,3,18,David,Oscar,user12Oscar100
13,user13,103,1,268,4,1,4,Alexander,Josiah,user13Josiah103
14,user14,112,0,135,14,1,14,Nicholas,Jorge,user14Jorge112
15,user15,116,1,213,4,2,10,Ryan,Ashton,user15Ashton116
16,user16,121,1,256,14,9,58,Tyler,Cooper,user16Cooper121
17,user17,125,1,226,14,6,28,James,Tanner,user17Tanner125
18,user18,126,0,81,22,1,22,John,Eduardo,user18Eduardo126
19,user19,127,1,330,10,10,38,Jonathan,Paul,user19Paul127
20,user20,145,1,393,12,11,50,Noah,Edward,user20Edward145
21,user21,164,1,213,2,1,2,Brandon,Ivan,user21Ivan164
22,user22,169,1,243,10,1,10,Christian,Preston,user22Preston169
23,user23,193,1,63,4,1,4,Dylan,Maxwell,user23Maxwell193
24,user24,201,1,57,2,1,2,Samuel,Alan,user24Alan201
25,user25,202,0,260,34,11,74,Benjamin,Levi,user25Levi202
26,user26,208,1,32,26,2,32,Nathan,Stephen,user26Stephen208
27,user27,214,0,177,24,1,24,Zachary,Grant,user27Grant214
28,user28,224,1,33,12,1,12,Logan,Nicolas,user28Nicolas224
29,user29,225,1,172,16,1,16,Justin,Dakota,user29Dakota225
30,user30,256,1,133,32,2,36,Gabriel,Omar,user30Omar256
31,user31,257,1,194,28,2,30,Jose,Alexis,user31Alexis257
32,user32,263,0,32,14,1,14,Austin,George,user32George263
33,user33,265,1,352,12,11,66,Kevin,Eli,user33Eli265
34,user34,266,1,319,12,8,32,Elijah,Collin,user34Collin266
35,user35,267,1,242,10,5,32,Caleb,Spencer,user35Spencer267
36,user36,275,1,78,6,2,10,Robert,Gage,user36Gage275
37,user37,277,1,223,16,7,44,Thomas,Max,user37Max277
38,user38,282,1,285,14,11,52,Jordan,Ricardo,user38Ricardo282
39,user39,288,0,312,36,10,58,Cameron,Cristian,user39Cristian288
40,user40,330,0,211,6,11,44,Jack,Derek,user40Derek330
41,user41,333,1,280,30,2,34,Hunter,Micah,user41Micah333
42,user42,340,1,320,28,3,38,Jackson,Brody,user42Brody340
43,user43,345,1,234,4,2,10,Angel,Francisco,user43Francisco345
44,user44,347,1,105,8,7,40,Isaiah,Nolan,user44Nolan347
45,user45,353,0,317,10,3,28,Evan,Ayden,user45Ayden353
46,user46,354,0,49,22,3,32,Isaac,Dalton,user46Dalton354
47,user47,356,0,189,16,9,68,Luke,Shane,user47Shane356
48,user48,391,1,143,14,9,38,Mason,Peter,user48Peter391
49,user49,397,1,254,8,2,12,Jayden,Damian,user49Damian397
50,user50,401,1,355,16,5,28,Jason,Jeffrey,user50Jeffrey401
51,user51,405,0,43,24,2,26,Gavin,Brendan,user51Brendan405
52,user52,409,1,233,30,8,54,Aaron,Travis,user52Travis409
53,user53,411,1,210,2,3,20,Connor,Fernando,user53Fernando411
54,user54,436,0,310,22,5,32,Aiden,Peyton,user54Peyton436
55,user55,438,1,378,10,7,50,Aidan,Conner,user55Conner438
56,user56,439,0,305,6,9,40,Kyle,Andres,user56Andres439
57,user57,440,1,458,10,12,44,Juan,Javier,user57Javier440
58,user58,444,1,235,14,1,14,Charles,Giovanni,user58Giovanni444
59,user59,450,1,148,22,3,30,Luis,Shawn,user59Shawn450
60,user60,453,1,154,10,7,46,Adam,Braden,user60Braden453
61,user61,477,0,123,12,2,16,Lucas,Jonah,user61Jonah477
62,user62,480,1,118,8,2,10,Brian,Bradley,user62Bradley480
63,user63,484,1,329,12,8,36,Eric,Cesar,user63Cesar484
64,user64,505,1,350,4,5,16,Adrian,Emmanuel,user64Emmanuel505
65,user65,506,1,235,14,1,14,Nathaniel,Manuel,user65Manuel506
66,user66,553,1,126,16,8,48,Sean,Edgar,user66Edgar553
67,user67,557,0,274,34,2,40,Alex,Mario,user67Mario557
68,user68,560,1,299,12,3,26,Carlos,Erik,user68Erik560
69,user69,565,0,294,10,3,20,Bryan,Edwin,user69Edwin565
70,user70,567,1,135,16,8,60,Ian,Johnathan,user70Johnathan567
71,user71,579,0,230,10,2,14,Owen,Devon,user71Devon579
72,user72,582,1,140,2,1,2,Jesus,Erick,user72Erick582
73,user73,585,1,307,24,9,46,Landon,Wesley,user73Wesley585
74,user74,592,1,201,8,1,8,Julian,Oliver,user74Oliver592
75,user75,594,1,193,16,2,20,Chase,Trenton,user75Trenton594
76,user76,609,1,112,36,1,36,Cole,Hector,user76Hector609
77,user77,612,0,277,14,1,14,Diego,Malachi,user77Malachi612
78,user78,619,1,49,10,2,14,Jeremiah,Jalen,user78Jalen619
79,user79,625,1,149,6,3,18,Steven,Raymond,user79Raymond625
80,user80,633,1,294,24,2,30,Sebastian,Gregory,user80Gregory633
81,user81,644,1,302,6,5,20,Xavier,Abraham,user81Abraham644
82,user82,649,1,138,22,1,22,Timothy,Elias,user82Elias649
83,user83,650,1,195,12,2,16,Carter,Leonardo,user83Leonardo650
84,user84,658,1,101,16,2,22,Wyatt,Sergio,user84Sergio658
85,user85,687,0,178,26,8,56,Brayden,Donovan,user85Donovan687
86,user86,706,1,128,10,2,16,Blake,Colby,user86Colby706
87,user87,708,0,277,30,11,78,Hayden,Marco,user87Marco708
88,user88,712,1,306,10,2,16,Devin,Bryson,user88Bryson712
89,user89,721,1,292,32,2,40,Cody,Martin,user89Martin721
90,user90,723,1,215,2,8,36,Richard,Eli,user90Eli723
91,user91,743,1,240,20,1,20,Seth,Collin,user91Collin743
92,user92,759,0,208,4,1,4,Dominic,Spencer,user92Spencer759
93,user93,761,1,141,10,1,10,Jaden,Gage,user93Gage761
94,user94,764,0,253,2,1,2,Antonio,Max,user94Max764
95,user95,775,1,258,14,5,36,Miguel,Ricardo,user95Ricardo775
96,user96,795,1,453,14,12,82,Liam,Cristian,user96Cristian795
97,user97,800,1,240,12,1,12,Patrick,Derek,user97Derek800
98,user98,803,0,187,10,7,30,Carson,Micah,user98Micah803
99,user99,808,0,271,10,2,18,Jesse,Brody,user99Brody808
100,user100,844,1,288,22,1,22,Tristan,Francisco,user100Francisco844
101,user101,850,0,194,12,10,62,Alejandro,Nolan,user101Nolan850
102,user102,874,1,274,14,11,68,Henry,Ayden,user102Ayden874
103,user103,876,0,176,6,7,20,Victor,Dalton,user103Dalton876
104,user104,883,1,182,4,10,34,Trevor,Shane,user104Shane883
105,user105,903,0,64,6,2,8,Bryce,Peter,user105Peter903
106,user106,910,0,95,2,1,2,Jake,Damian,user106Damian910
107,user107,915,1,308,16,1,16,Riley,Jeffrey,user107Jeffrey915
108,user108,931,1,166,16,1,16,Colin,Brendan,user108Brendan931
109,user109,940,1,224,28,2,32,Jared,Travis,user109Travis940
110,user110,942,0,123,14,4,32,Jeremy,Fernando,user110Fernando942
111,user111,950,1,75,14,1,14,Mark,Peyton,user111Peyton950
112,user112,954,1,137,16,1,16,Caden,Conner,user112Conner954
113,user113,966,1,266,2,6,30,Garrett,Andres,user113Andres966
114,user114,985,1,258,12,1,12,Parker,Javier,user114Javier985
115,user115,999,1,419,14,8,48,Marcus,Giovanni,user115Giovanni999
